key|hi|kn|ta|te|ml|mr|bn|gu|pa|ur|as|or
command|कमांड केंद्र|ನಿಯಂತ್ರಣ ಕೇಂದ್ರ|கட்டுப்பாட்டு மையம்|నియంత్రణ కేంద్రం|നിയന്ത്രണ കേന്ദ്രം|नियंत्रण केंद्र|নিয়ন্ত্রণ কেন্দ্র|નિયંત્રણ કેન્દ્ર|ਕੰਟਰੋਲ ਕੇਂਦਰ|کنٹرول مرکز|নিয়ন্ত্ৰণ কেন্দ্ৰ|ନିୟନ୍ତ୍ରଣ କେନ୍ଦ୍ର
live|लाइव प्रतिक्रिया|ನೇರ ಪ್ರತಿಕ್ರಿಯೆ|நேரடி நடவடிக்கை|ప్రత్యక్ష స్పందన|തത്സമയ പ്രതികരണം|थेट प्रतिसाद|সরাসরি প্রতিক্রিয়া|જીવંત પ્રતિસાદ|ਸਿੱਧੀ ਕਾਰਵਾਈ|براہ راست ردعمل|পোনপটীয়া সঁহাৰি|ସିଧାସଳଖ ପ୍ରତିକ୍ରିୟା
simulation|स्थानीय सिमुलेशन|ಸ್ಥಳೀಯ ಅನುಕರಣೆ|உள்ளூர் ஒத்திகை|స్థానిక అనుకరణ|പ്രാദേശിക അനുകരണം|स्थानिक अनुकरण|স্থানীয় অনুকরণ|સ્થાનિક અનુકરણ|ਸਥਾਨਕ ਸਿਮੂਲੇਸ਼ਨ|مقامی مشق|স্থানীয় অনুকৰণ|ସ୍ଥାନୀୟ ଅନୁକରଣ
fictional|काल्पनिक डेटा|ಕಾಲ್ಪನಿಕ ದತ್ತಾಂಶ|கற்பனைத் தரவு|కల్పిత డేటా|സാങ്കൽപ്പിക വിവരങ്ങൾ|काल्पनिक माहिती|কাল্পনিক তথ্য|કાલ્પનિક માહિતી|ਕਾਲਪਨਿਕ ਡਾਟਾ|فرضی معلومات|কাল্পনিক তথ্য|କାଳ୍ପନିକ ତଥ୍ୟ
operational|कार्यरत|ಕಾರ್ಯನಿರತ|செயல்பாட்டில்|పనిచేస్తోంది|പ്രവർത്തനക്ഷമം|कार्यरत|কার্যকর|કાર્યરત|ਕਾਰਜਸ਼ੀਲ|فعال|কাৰ্যক্ষম|କାର୍ଯ୍ୟକ୍ଷମ
sync|अंतिम सिंक|ಕೊನೆಯ ನವೀಕರಣ|கடைசி ஒத்திசைவு|చివరి సమకాలీకరణ|അവസാന സമന്വയം|शेवटचे समक्रमण|শেষ সমন্বয়|છેલ્લું સમન્વયન|ਆਖਰੀ ਸਮਕਾਲੀਕਰਨ|آخری ہم آہنگی|শেষ সমন্বয়|ଶେଷ ସମନ୍ୱୟ
language|भाषा|ಭಾಷೆ|மொழி|భాష|ഭാഷ|भाषा|ভাষা|ભાષા|ਭਾਸ਼ਾ|زبان|ভাষা|ଭାଷା
overview|अवलोकन|ಅವಲೋಕನ|கண்ணோட்டம்|అవలోకనం|അവലോകനം|आढावा|সারসংক্ষেপ|ઝાંખી|ਸੰਖੇਪ|جائزہ|অৱলোকন|ସମୀକ୍ଷା
incidents|घटनाएँ|ಘಟನೆಗಳು|சம்பவங்கள்|ఘటనలు|സംഭവങ്ങൾ|घटना|ঘটনাসমূহ|ઘટનાઓ|ਘਟਨਾਵਾਂ|واقعات|ঘটনাসমূহ|ଘଟଣାଗୁଡ଼ିକ
resources|संसाधन|ಸಂಪನ್ಮೂಲಗಳು|வளங்கள்|వనరులు|വിഭവങ്ങൾ|संसाधने|সম্পদ|સંસાધનો|ਸਰੋਤ|وسائل|সম্পদ|ସମ୍ବଳ
audit|ऑडिट रिकॉर्ड|ಲೆಕ್ಕಪರಿಶೋಧನಾ ದಾಖಲೆ|தணிக்கைப் பதிவு|ఆడిట్ రికార్డు|ഓഡിറ്റ് രേഖ|लेखापरीक्षण नोंद|নিরীক্ষা নথি|ઑડિટ નોંધ|ਆਡਿਟ ਰਿਕਾਰਡ|آڈٹ ریکارڈ|নিৰীক্ষণ নথি|ଅଡିଟ୍ ରେକର୍ଡ
critical|अति गंभीर|ಅತಿ ಗಂಭೀರ|மிகத் தீவிரம்|అత్యంత తీవ్రం|അതീവ ഗുരുതരം|अति गंभीर|অতি গুরুতর|અતિ ગંભીર|ਅਤਿ ਗੰਭੀਰ|انتہائی سنگین|অতি গুৰুতৰ|ଅତି ଗୁରୁତର
high|उच्च|ಹೆಚ್ಚು|உயர்|అధికం|ഉയർന്നത്|उच्च|উচ্চ|ઉચ્ચ|ਉੱਚ|زیادہ|উচ্চ|ଉଚ୍ଚ
moderate|मध्यम|ಮಧ್ಯಮ|மிதமான|మధ్యస్థం|മിതമായത്|मध्यम|মাঝারি|મધ્યમ|ਦਰਮਿਆਨਾ|درمیانہ|মধ্যম|ମଧ୍ୟମ
active|सक्रिय|ಸಕ್ರಿಯ|செயலில்|క్రియాశీలం|സജീവം|सक्रिय|সক্রিয়|સક્રિય|ਸਰਗਰਮ|سرگرم|সক্ৰিয়|ସକ୍ରିୟ
available|उपलब्ध|ಲಭ್ಯ|கிடைக்கிறது|అందుబాటులో|ലഭ്യമാണ്|उपलब्ध|উপলব্ধ|ઉપલબ્ધ|ਉਪਲਬਧ|دستیاب|উপলব্ধ|ଉପଲବ୍ଧ
ambulance|एम्बुलेंस|ಆಂಬುಲೆನ್ಸ್|ஆம்புலன்ஸ்|అంబులెన్స్|ആംബുലൻസ്|रुग्णवाहिका|অ্যাম্বুল্যান্স|એમ્બ્યુલન્સ|ਐਂਬੂਲੈਂਸ|ایمبولینس|এম্বুলেন্স|ଆମ୍ବୁଲାନ୍ସ
rescue|बचाव दल|ರಕ್ಷಣಾ ತಂಡ|மீட்புக் குழு|రక్షణ బృందం|രക്ഷാസംഘം|बचाव पथक|উদ্ধার দল|બચાવ ટીમ|ਬਚਾਅ ਟੀਮ|امدادی ٹیم|উদ্ধাৰ দল|ଉଦ୍ଧାର ଦଳ
hospital|अस्पताल|ಆಸ್ಪತ್ರೆ|மருத்துவமனை|ఆసుపత్రి|ആശുപത്രി|रुग्णालय|হাসপাতাল|હોસ્પિટલ|ਹਸਪਤਾਲ|ہسپتال|চিকিৎসালয়|ଡାକ୍ତରଖାନା
shelter|आश्रय|ಆಶ್ರಯ|தங்குமிடம்|ఆశ్రయం|അഭയകേന്ദ്രം|निवारा|আশ্রয়|આશ્રય|ਆਸਰਾ|پناہ گاہ|আশ্ৰয়|ଆଶ୍ରୟ
map|परिचालन मानचित्र|ಕಾರ್ಯಾಚರಣೆಯ ನಕ್ಷೆ|செயல்பாட்டு வரைபடம்|కార్యాచరణ పటం|പ്രവർത്തന ഭൂപടം|कार्यवाही नकाशा|কার্যক্রমের মানচিত্র|કાર્યકારી નકશો|ਕਾਰਵਾਈ ਦਾ ਨਕਸ਼ਾ|عملی نقشہ|কাৰ্যকলাপৰ মানচিত্ৰ|କାର୍ଯ୍ୟକଳାପ ମାନଚିତ୍ର
